# প্রতি ভিডিও: বাংলা শিরোনাম | জার্মান বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | জার্মান বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# এটি লেখকের ভাষা সহায়িকা। ভিডিওতে কোনো ক্যাপশন বা লেখা দেখানো হবে না।
নিজের নাম বলুন|Ich heiße Anna.|আমার নাম আনা।|ইখ হাইসে আনা।|Wie heißt du?|তোমার নাম কী?|ভি হাইস্ট ডু?
আরও ছোট মাপ চান|Der Pullover ist zu groß.|সোয়েটারটা খুব বড়।|ডেয়া পুলোভার ইস্ট ৎসু গ্রোস।|Ich brauche eine kleinere Größe.|আমার ছোট সাইজ লাগবে।|ইখ ব্রাউখে আইনে ক্লাইনেরে গ্র্যোসে।
পছন্দের রং বাছুন|Gibt es das auch in Blau?|এটা নীল রঙেও আছে?|গিপ্ট এস ডাস আউখ ইন ব্লাউ?|Blau ist meine Lieblingsfarbe.|নীল আমার প্রিয় রং।|ব্লাউ ইস্ট মাইনে লিপলিংসফারবে।
জুতা ঠিক হলে বলুন|Die Schuhe passen gut.|জুতাগুলো ঠিকমতো হয়েছে।|ডি শুয়ে পাসেন গুট।|Ich nehme dieses Paar.|আমি এই জোড়া নেব।|ইখ নেমে ডিজেস পার।
শীতের পোশাক কিনুন|Ich suche einen warmen Mantel.|আমি একটা গরম কোট খুঁজছি।|ইখ জুখে আইনেন ভার্মেন মান্টেল।|Der Winter kommt bald.|শীত শিগগিরই আসছে।|ডেয়া ভিন্টার কোম্ট বাল্ট।
পোশাক ফেরত দিন|Ich möchte dieses Hemd zurückgeben.|আমি এই শার্ট ফেরত দিতে চাই।|ইখ ম্যোখটে ডিজেস হেম্ট ৎসুর্যুকগেবেন।|Hier ist der Kassenbon.|এই নিন রসিদ।|হিয়া ইস্ট ডেয়া কাসেনবন।
নষ্ট জিনিস বদলাতে বলুন|Der Reißverschluss ist kaputt.|চেইনটা নষ্ট।|ডেয়া রাইসফেরশ্লুস ইস্ট কাপুট।|Kann ich die Jacke umtauschen?|জ্যাকেটটা বদলাতে পারি?|কান ইখ ডি ইয়াকে উমটাউশেন?
কাপড়ের উপাদান জানুন|Ist dieses T-Shirt aus Baumwolle?|এই টি-শার্ট কি সুতির?|ইস্ট ডিজেস টি-শার্ট আউস বাউমভোলে?|Das Material fühlt sich weich an.|কাপড়টা নরম লাগছে।|ডাস মাটেরিয়াল ফ্যুল্ট জিখ ভাইখ আন।
রোদের কথা বলুন|Heute scheint die Sonne.|আজ রোদ উঠেছে।|হয়টে শাইন্ট ডি জনে।|Wir können draußen sitzen.|আমরা বাইরে বসতে পারি।|ভিয়া ক্যোনেন ড্রাউসেন জিট্সেন।
বৃষ্টির জন্য প্রস্তুত হন|Es regnet gerade.|এখন বৃষ্টি হচ্ছে।|এস রেগনেট গেরাডে।|Ich nehme einen Regenschirm mit.|আমি ছাতা সঙ্গে নেব।|ইখ নেমে আইনেন রেগেনশির্ম মিট।
ঠান্ডা লাগলে বলুন|Mir ist kalt.|আমার ঠান্ডা লাগছে।|মিয়া ইস্ট কাল্ট।|Ich ziehe eine Jacke an.|আমি জ্যাকেট পরব।|ইখ ৎসিয়ে আইনে ইয়াকে আন।
গরমে ছায়ায় থাকুন|Heute ist es sehr heiß.|আজ খুব গরম।|হয়টে ইস্ট এস জেয়া হাইস।|Ich bleibe lieber im Schatten.|আমি বরং ছায়ায় থাকব।|ইখ ব্লাইবে লিবার ইম শাটেন।
তুষারপাতের কথা বলুন|Es hat heute Nacht geschneit.|গত রাতে তুষার পড়েছে।|এস হাট হয়টে নাখ্ট গেশনাইট।|Die Straßen sind ganz weiß.|রাস্তাগুলো একেবারে সাদা।|ডি শ্ট্রাসেন জিন্ট গান্ট্স ভাইস।
বাতাসের কথা বলুন|Draußen ist es windig.|বাইরে অনেক বাতাস।|ড্রাউসেন ইস্ট এস ভিন্ডিখ।|Halte deine Mütze fest.|তোমার টুপিটা শক্ত করে ধরো।|হাল্টে ডাইনে ম্যুট্সে ফেস্ট।
বসন্তের পরিকল্পনা বলুন|Im Frühling wird es wärmer.|বসন্তে আবহাওয়া উষ্ণ হয়।|ইম ফ্র্যুলিং ভির্ট এস ভের্মার।|Dann fahre ich wieder Fahrrad.|তখন আবার সাইকেল চালাই।|ডান ফারে ইখ ভিডার ফাররাট।
শরতের কথা বলুন|Im Herbst fallen die Blätter.|শরতে গাছের পাতা ঝরে।|ইম হের্পস্ট ফালেন ডি ব্লেটার।|Ich mag die bunten Farben.|রংগুলো আমার ভালো লাগে।|ইখ মাক ডি বুন্টেন ফারবেন।
আগামীকালের আবহাওয়া জানুন|Wie wird das Wetter morgen?|কাল আবহাওয়া কেমন হবে?|ভি ভির্ট ডাস ভেটার মর্গেন?|Wir planen einen Ausflug.|আমরা বেড়াতে যাওয়ার পরিকল্পনা করছি।|ভিয়া প্লানেন আইনেন আউসফ্লুক।
ঝড় হলে পরিকল্পনা বদলান|Es gibt heute ein Gewitter.|আজ বজ্রঝড় হবে।|এস গিপ্ট হয়টে আইন গেভিটার।|Wir bleiben zu Hause.|আমরা বাসায় থাকব।|ভিয়া ব্লাইবেন ৎসু হাউজে।
অসুস্থ লাগলে বলুন|Mir geht es nicht gut.|আমার ভালো লাগছে না।|মিয়া গেট এস নিখ্ট গুট।|Ich brauche einen Arzt.|আমার ডাক্তার দরকার।|ইখ ব্রাউখে আইনেন আর্ট্স্ট।
মাথাব্যথার কথা বলুন|Ich habe Kopfschmerzen.|আমার মাথাব্যথা করছে।|ইখ হাবে কোপ্ফশ্মের্ট্সেন।|Das Licht ist mir zu hell.|আলোটা আমার জন্য বেশি উজ্জ্বল।|ডাস লিখ্ট ইস্ট মিয়া ৎসু হেল।
গলাব্যথার কথা বলুন|Mein Hals tut weh.|আমার গলাব্যথা করছে।|মাইন হাল্স টুট ভে।|Ich kann kaum sprechen.|আমি কথা প্রায় বলতেই পারছি না।|ইখ কান কাউম শ্প্রেখেন।
জ্বরের কথা বলুন|Ich habe seit gestern Fieber.|গতকাল থেকে আমার জ্বর।|ইখ হাবে জাইট গেস্টার্ন ফিবার।|Ich bleibe heute im Bett.|আজ আমি বিছানায় থাকব।|ইখ ব্লাইবে হয়টে ইম বেট।
ডাক্তারের সময় নিন|Ich möchte einen Termin vereinbaren.|আমি একটা অ্যাপয়েন্টমেন্ট চাই।|ইখ ম্যোখটে আইনেন টেরমিন ফেরআইনবারেন।|Haben Sie heute noch etwas frei?|আজ কোনো সময় খালি আছে?|হাবেন জি হয়টে নখ এটভাস ফ্রাই?
ডাক্তারের কাছে পৌঁছে বলুন|Ich habe einen Termin um zehn.|দশটায় আমার অ্যাপয়েন্টমেন্ট আছে।|ইখ হাবে আইনেন টেরমিন উম ৎসেন।|Hier ist meine Versichertenkarte.|এই নিন স্বাস্থ্যবিমার কার্ড।|হিয়া ইস্ট মাইনে ফেরজিখার্টেনকার্টে।
অ্যালার্জির কথা বলুন|Ich bin gegen Nüsse allergisch.|আমার বাদামে অ্যালার্জি আছে।|ইখ বিন গেগেন ন্যুসে আলের্গিশ।|Sind in diesem Essen Nüsse?|এই খাবারে বাদাম আছে?|জিন্ট ইন ডিজেম এসেন ন্যুসে?
ওষুধের দোকান খুঁজুন|Wo ist die nächste Apotheke?|কাছের ওষুধের দোকান কোথায়?|ভো ইস্ট ডি নেখস্টে আপোটেকে?|Ich möchte mein Rezept einlösen.|আমি প্রেসক্রিপশনের ওষুধ নিতে চাই।|ইখ ম্যোখটে মাইন রেৎসেপ্ট আইনল্যোজেন।
ওষুধ খাওয়ার নিয়ম জানুন|Wie oft soll ich das nehmen?|এটা কতবার খাব?|ভি অফ্ট জল ইখ ডাস নেমেন?|Können Sie mir das aufschreiben?|আমাকে লিখে দেবেন?|ক্যোনেন জি মিয়া ডাস আউফশ্রাইবেন?
কোথায় ব্যথা দেখান|Mein Rücken tut weh.|আমার পিঠে ব্যথা।|মাইন র্যুকেন টুট ভে।|Der Schmerz ist hier unten.|ব্যথাটা এই নিচের দিকে।|ডেয়া শ্মের্ট্স ইস্ট হিয়া উন্টেন।
বাসা খুঁজতে বলুন|Ich suche eine Wohnung.|আমি একটা বাসা খুঁজছি।|ইখ জুখে আইনে ভোনুং।|Sie sollte zwei Zimmer haben.|দুটি ঘর থাকলে ভালো হয়।|জি জল্টে ৎসভাই ৎসিমার হাবেন।
বাসাভাড়া জিজ্ঞেস করুন|Wie hoch ist die Miete?|ভাড়া কত?|ভি হোখ ইস্ট ডি মিটে?|Sind die Nebenkosten dabei?|বাড়তি খরচ কি এর মধ্যে আছে?|জিন্ট ডি নেবেনকোস্টেন ডাবাই?
বাসা দেখতে সময় নিন|Kann ich die Wohnung besichtigen?|আমি কি বাসাটা দেখতে পারি?|কান ইখ ডি ভোনুং বেজিখ্টিগেন?|Am Freitag habe ich Zeit.|শুক্রবার আমার সময় আছে।|আম ফ্রাইটাক হাবে ইখ ৎসাইট।
হিটার নষ্ট হলে বলুন|Die Heizung funktioniert nicht.|হিটার কাজ করছে না।|ডি হাইৎসুং ফুংক্ৎসিওনির্ট নিখ্ট।|In der Wohnung ist es kalt.|বাসার ভেতরে ঠান্ডা।|ইন ডেয়া ভোনুং ইস্ট এস কাল্ট।
পানির সমস্যার কথা বলুন|Der Wasserhahn tropft.|কল থেকে পানি পড়ছে।|ডেয়া ভাসারহান ট্রপ্ফ্ট।|Können Sie jemanden schicken?|কাউকে পাঠাতে পারবেন?|ক্যোনেন জি ইয়েমানডেন শিকেন?
ঘর পরিষ্কারের কথা বলুন|Ich putze heute die Küche.|আজ রান্নাঘর পরিষ্কার করছি।|ইখ পুট্সে হয়টে ডি ক্যুখে।|Danach sauge ich das Wohnzimmer.|তারপর বসার ঘরে ভ্যাকুয়াম করব।|ডানাখ জাউগে ইখ ডাস ভোনৎসিমার।
কাপড় ধোয়ার কথা বলুন|Ich muss Wäsche waschen.|আমাকে কাপড় ধুতে হবে।|ইখ মুস ভেশে ভাশেন।|Die Waschmaschine ist gerade frei.|ওয়াশিং মেশিন এখন খালি।|ডি ভাশমাশিনে ইস্ট গেরাডে ফ্রাই।
ময়লা ফেলতে বলুন|Ich bringe den Müll raus.|আমি ময়লা বাইরে নিয়ে যাচ্ছি।|ইখ ব্রিংগে ডেন ম্যুল রাউস।|Wo ist die Papiertonne?|কাগজের ময়লার পাত্র কোথায়?|ভো ইস্ট ডি পাপিয়ারটনে?
শব্দ কমাতে বলুন|Die Musik ist sehr laut.|গানের শব্দ খুব জোরে।|ডি মুজিক ইস্ট জেয়া লাউট।|Könnten Sie sie bitte leiser machen?|দয়া করে একটু কমাবেন?|ক্যোন্টেন জি জি বিটে লাইজার মাখেন?
প্রতিবেশীর সাহায্য চান|Können Sie mein Paket annehmen?|আমার পার্সেলটা গ্রহণ করবেন?|ক্যোনেন জি মাইন পাকেট আননেমেন?|Ich bin morgen nicht zu Hause.|কাল আমি বাসায় থাকব না।|ইখ বিন মর্গেন নিখ্ট ৎসু হাউজে।
নিজের কাজের কথা বলুন|Ich arbeite in einem Büro.|আমি অফিসে কাজ করি।|ইখ আরবাইটে ইন আইনেম ব্যুরো।|Meine Aufgaben sind sehr verschieden.|আমার কাজগুলো নানা রকমের।|মাইনে আউফগাবেন জিন্ট জেয়া ফেরশিডেন।
নতুন কাজে প্রথম দিন|Heute ist mein erster Arbeitstag.|আজ আমার কাজের প্রথম দিন।|হয়টে ইস্ট মাইন এরস্টার আরবাইটস্টাক।|Ich freue mich auf die Zusammenarbeit.|একসঙ্গে কাজ করতে পেরে ভালো লাগছে।|ইখ ফ্রয়ে মিখ আউফ ডি ৎসুজামেনআরবাইট।
কাজ বুঝে নিন|Was soll ich zuerst machen?|প্রথমে কী করব?|ভাস জল ইখ ৎসুএরস্ট মাখেন?|Können Sie mir die Aufgabe zeigen?|কাজটা দেখিয়ে দেবেন?|ক্যোনেন জি মিয়া ডি আউফগাবে ৎসাইগেন?
অফিসে সাহায্য চান|Ich brauche kurz deine Hilfe.|তোমার একটু সাহায্য লাগবে।|ইখ ব্রাউখে কুর্ট্স ডাইনে হিলফে।|Mein Computer startet nicht.|আমার কম্পিউটার চালু হচ্ছে না।|মাইন কমপিউটার শ্টার্টেট নিখ্ট।
মিটিংয়ের সময় জানুন|Wann beginnt die Besprechung?|মিটিং কখন শুরু হবে?|ভান বেগিন্ট ডি বেশ্প্রেখুং?|Ich möchte pünktlich sein.|আমি সময়মতো যেতে চাই।|ইখ ম্যোখটে প্যুংক্টলিখ জাইন।
কাজ শেষ হলে জানান|Ich bin mit der Aufgabe fertig.|আমার কাজ শেষ।|ইখ বিন মিট ডেয়া আউফগাবে ফের্টিখ।|Ich schicke dir die Datei.|তোমাকে ফাইলটা পাঠাচ্ছি।|ইখ শিকে ডিয়া ডি ডাটাই।
আরও সময় চান|Ich brauche noch etwas Zeit.|আমার আরও একটু সময় লাগবে।|ইখ ব্রাউখে নখ এটভাস ৎসাইট।|Morgen ist alles fertig.|কাল সব শেষ হবে।|মর্গেন ইস্ট আলেস ফের্টিখ।
একসঙ্গে বিরতি নিন|Wollen wir eine Pause machen?|আমরা কি একটু বিরতি নেব?|ভোলেন ভিয়া আইনে পাউজে মাখেন?|Ich hole mir einen Kaffee.|আমি এক কাপ কফি আনছি।|ইখ হোলে মিয়া আইনেন কাফে।
অসুস্থতার ছুটি জানান|Ich bin heute krank.|আজ আমি অসুস্থ।|ইখ বিন হয়টে ক্রাংক।|Ich kann nicht zur Arbeit kommen.|আমি কাজে আসতে পারব না।|ইখ কান নিখ্ট ৎসুর আরবাইট কোমেন।
এক দিনের ছুটি চান|Ich möchte am Freitag freinehmen.|আমি শুক্রবার ছুটি নিতে চাই।|ইখ ম্যোখটে আম ফ্রাইটাক ফ্রাইনেমেন।|Ist das möglich?|এটা কি সম্ভব?|ইস্ট ডাস ম্যোগলিখ?
জার্মান কোর্সে ভর্তি হন|Ich möchte mich für den Deutschkurs anmelden.|আমি জার্মান কোর্সে ভর্তি হতে চাই।|ইখ ম্যোখটে মিখ ফ্যুর ডেন ডয়চকুর্স আনমেল্ডেন।|Wann beginnt der nächste Kurs?|পরের কোর্স কবে শুরু?|ভান বেগিন্ট ডেয়া নেখস্টে কুর্স?
কোর্সের সময় জিজ্ঞেস করুন|Findet der Kurs am Abend statt?|কোর্স কি সন্ধ্যায় হয়?|ফিন্ডেট ডেয়া কুর্স আম আবেন্ট শ্টাট?|Tagsüber muss ich arbeiten.|দিনের বেলা আমাকে কাজ করতে হয়।|টাগ্সইউবার মুস ইখ আরবাইটেন।
কোর্সের খরচ জানুন|Wie viel kostet der Kurs?|কোর্সের খরচ কত?|ভি ফিল কোস্টেট ডেয়া কুর্স?|Sind die Bücher im Preis enthalten?|বইয়ের দামও কি এতে আছে?|জিন্ট ডি ব্যুখার ইম প্রাইস এনটহাল্টেন?
ক্লাসের ঘর খুঁজুন|In welchem Raum ist der Unterricht?|কোন ঘরে ক্লাস হবে?|ইন ভেল্খেম রাউম ইস্ট ডেয়া উন্টাররিখ্ট?|Ich bin zum ersten Mal hier.|আমি এখানে প্রথম এসেছি।|ইখ বিন ৎসুম এরস্টেন মাল হিয়া।
বাড়ির কাজ বুঝে নিন|Welche Hausaufgaben haben wir?|আমাদের কী বাড়ির কাজ আছে?|ভেল্খে হাউসআউফগাবেন হাবেন ভিয়া?|Ich habe die Seite nicht gehört.|আমি পৃষ্ঠার নম্বর শুনতে পাইনি।|ইখ হাবে ডি জাইটে নিখ্ট গেহ্যোর্ট।
কলম ধার চান|Kannst du mir einen Stift leihen?|আমাকে একটা কলম ধার দেবে?|কানস্ট ডু মিয়া আইনেন শ্টিফ্ট লাইয়েন?|Meiner schreibt nicht mehr.|আমারটা আর লিখছে না।|মাইনার শ্রাইপ্ট নিখ্ট মেয়া।
পরীক্ষার প্রস্তুতির কথা|Ich habe nächste Woche eine Prüfung.|আগামী সপ্তাহে আমার পরীক্ষা।|ইখ হাবে নেখস্টে ভোখে আইনে প্র্যুফুং।|Deshalb lerne ich jeden Abend.|তাই প্রতিদিন সন্ধ্যায় পড়ি।|ডেসহাল্প লের্নে ইখ ইয়েডেন আবেন্ট।
সহপাঠীর সঙ্গে অনুশীলন|Möchtest du mit mir üben?|আমার সঙ্গে অনুশীলন করতে চাও?|ম্যোখটেস্ট ডু মিট মিয়া ইউবেন?|Wir können zusammen Deutsch sprechen.|আমরা একসঙ্গে জার্মান বলতে পারি।|ভিয়া ক্যোনেন ৎসুজামেন ডয়চ শ্প্রেখেন।
লাইব্রেরি থেকে বই নিন|Ich möchte dieses Buch ausleihen.|আমি এই বই ধার নিতে চাই।|ইখ ম্যোখটে ডিজেস বুখ আউসলাইয়েন।|Wie lange darf ich es behalten?|কত দিন রাখতে পারব?|ভি লাংগে ডার্ফ ইখ এস বেহাল্টেন?
শেখার অগ্রগতি বলুন|Ich verstehe jetzt viel mehr.|এখন অনেক বেশি বুঝি।|ইখ ফেরশ্টেয়ে ইয়েট্স্ট ফিল মেয়া।|Das Sprechen fällt mir noch schwer.|কথা বলা এখনো কঠিন লাগে।|ডাস শ্প্রেখেন ফেল্ট মিয়া নখ শ্ভেয়া।
ফোনে কথা শুরু করুন|Kann ich bitte mit Frau Müller sprechen?|মিসেস মুলারের সঙ্গে কথা বলতে পারি?|কান ইখ বিটে মিট ফ্রাউ ম্যুলার শ্প্রেখেন?|Hier spricht Anna Weber.|আমি আনা ভেবার বলছি।|হিয়া শ্প্রিখ্ট আনা ভেবার।
ফোনে শুনতে না পেলে বলুন|Ich kann Sie schlecht hören.|আপনার কথা ভালো শুনতে পাচ্ছি না।|ইখ কান জি শ্লেখ্ট হ্যোরেন।|Die Verbindung ist sehr schlecht.|সংযোগ খুব খারাপ।|ডি ফেরবিন্ডুং ইস্ট জেয়া শ্লেখ্ট।
পরে ফোন করতে বলুন|Können Sie mich später zurückrufen?|আমাকে পরে ফোন করবেন?|ক্যোনেন জি মিখ শ্পেটার ৎসুর্যুকরুফেন?|Ich bin gerade unterwegs.|আমি এখন পথে আছি।|ইখ বিন গেরাডে উন্টারভেক্স।
ফোনে বার্তা রেখে যান|Kann ich eine Nachricht hinterlassen?|আমি কি একটা বার্তা রাখতে পারি?|কান ইখ আইনে নাখরিখ্ট হিন্টারলাসেন?|Es geht um meinen Termin.|এটা আমার অ্যাপয়েন্টমেন্ট সম্পর্কে।|এস গেট উম মাইনেন টেরমিন।
ওয়াইফাই পাসওয়ার্ড চান|Gibt es hier WLAN?|এখানে ওয়াইফাই আছে?|গিপ্ট এস হিয়া ভে-লান?|Wie lautet das Passwort?|পাসওয়ার্ড কী?|ভি লাউটেট ডাস পাসভর্ট?
ইন্টারনেট সমস্যা জানান|Mein Internet funktioniert nicht.|আমার ইন্টারনেট কাজ করছে না।|মাইন ইন্টারনেট ফুংক্ৎসিওনির্ট নিখ্ট।|Ich habe den Router neu gestartet.|রাউটার আবার চালু করেছি।|ইখ হাবে ডেন রাউটার নয় গেশ্টার্টেট।
ফোন চার্জ করতে চান|Mein Akku ist fast leer.|আমার ব্যাটারি প্রায় শেষ।|মাইন আকু ইস্ট ফাস্ট লেয়া।|Darf ich mein Handy hier laden?|এখানে ফোন চার্জ দিতে পারি?|ডার্ফ ইখ মাইন হ্যান্ডি হিয়া লাডেন?
ছবি পাঠানোর কথা বলুন|Ich schicke dir das Foto.|আমি তোমাকে ছবিটা পাঠাচ্ছি।|ইখ শিকে ডিয়া ডাস ফোটো।|Du bekommst es gleich.|তুমি এখনই পেয়ে যাবে।|ডু বেকোমস্ট এস গ্লাইখ।
ইমেইল ঠিকানা মিলিয়ে নিন|Ist diese E-Mail-Adresse richtig?|এই ইমেইল ঠিকানা কি ঠিক?|ইস্ট ডিজে ই-মেইল-আড্রেসে রিখ্টিখ?|Meine Nachricht kommt nicht an.|আমার বার্তা পৌঁছাচ্ছে না।|মাইনে নাখরিখ্ট কোম্ট নিখ্ট আন।
ভিডিও কলে কথা বলুন|Können wir heute Abend telefonieren?|আজ সন্ধ্যায় ফোনে কথা বলতে পারি?|ক্যোনেন ভিয়া হয়টে আবেন্ট টেলেফোনিরেন?|Ein Videoanruf wäre auch gut.|ভিডিও কলও ভালো হবে।|আইন ভিডিয়োআনরুফ ভেয়ারে আউখ গুট।
হোটেলে পৌঁছে বলুন|Ich habe ein Zimmer reserviert.|আমি একটা ঘর বুক করেছি।|ইখ হাবে আইন ৎসিমার রেজেরভির্ট।|Die Buchung läuft auf meinen Namen.|বুকিংটা আমার নামে।|ডি বুখুং লয়ফ্ট আউফ মাইনেন নামেন।
হোটেলের নাশতা সম্পর্কে জানুন|Ist das Frühstück im Preis enthalten?|নাশতা কি ভাড়ার মধ্যে আছে?|ইস্ট ডাস ফ্র্যুশ্ট্যুক ইম প্রাইস এনটহাল্টেন?|Um wie viel Uhr beginnt es?|কয়টায় শুরু হয়?|উম ভি ফিল উয়া বেগিন্ট এস?
হোটেল ছাড়ার সময় জানুন|Bis wann muss ich auschecken?|কয়টার মধ্যে চেকআউট করতে হবে?|বিস ভান মুস ইখ আউসচেকেন?|Kann ich meinen Koffer hier lassen?|স্যুটকেস এখানে রেখে যেতে পারি?|কান ইখ মাইনেন কোফার হিয়া লাসেন?
হোটেলে তোয়ালে চান|In meinem Zimmer fehlt ein Handtuch.|আমার ঘরে তোয়ালে নেই।|ইন মাইনেম ৎসিমার ফেল্ট আইন হান্টটুখ।|Können Sie mir eins bringen?|আমাকে একটা এনে দেবেন?|ক্যোনেন জি মিয়া আইনস ব্রিংগেন?
শান্ত ঘর চাইতে বলুন|Mein Zimmer ist sehr laut.|আমার ঘরে খুব শব্দ হয়।|মাইন ৎসিমার ইস্ট জেয়া লাউট।|Haben Sie ein ruhigeres Zimmer?|আরও শান্ত ঘর আছে?|হাবেন জি আইন রুইগেরেস ৎসিমার?
শহরের মানচিত্র চান|Haben Sie einen Stadtplan?|আপনাদের কাছে শহরের মানচিত্র আছে?|হাবেন জি আইনেন শ্টাটপ্লান?|Ich möchte die Altstadt besuchen.|আমি পুরোনো শহর দেখতে চাই।|ইখ ম্যোখটে ডি আল্টশ্টাট বেজুখেন।
প্রবেশের টিকিট কিনুন|Ich hätte gern eine Eintrittskarte.|আমি একটা প্রবেশের টিকিট চাই।|ইখ হেটে গের্ন আইনে আইনট্রিট্সকার্টে।|Gibt es einen Rabatt für Studierende?|শিক্ষার্থীদের জন্য ছাড় আছে?|গিপ্ট এস আইনেন রাবাট ফ্যুর শ্টুডিরেন্ডে?
ফ্লাইট দেরি কি না জানুন|Hat unser Flug Verspätung?|আমাদের ফ্লাইট কি দেরি করছে?|হাট উনজার ফ্লুক ফেরশ্পেটুং?|Wann können wir einsteigen?|আমরা কখন উঠতে পারব?|ভান ক্যোনেন ভিয়া আইনশ্টাইগেন?
লাগেজ না পেলে বলুন|Mein Koffer ist nicht angekommen.|আমার স্যুটকেস আসেনি।|মাইন কোফার ইস্ট নিখ্ট আনগেকোমেন।|Er ist schwarz und ziemlich groß.|ওটা কালো আর বেশ বড়।|এয়া ইস্ট শ্ভার্ট্স উন্ট ৎসিমলিখ গ্রোস।
ছুটির অভিজ্ঞতা বলুন|Wir waren eine Woche am Meer.|আমরা এক সপ্তাহ সমুদ্রের কাছে ছিলাম।|ভিয়া ভারেন আইনে ভোখে আম মেয়া।|Das Wetter war wunderbar.|আবহাওয়া চমৎকার ছিল।|ডাস ভেটার ভার ভুন্ডারবার।
অনলাইনে সময় বুক করুন|Ich möchte online einen Termin buchen.|আমি অনলাইনে অ্যাপয়েন্টমেন্ট নিতে চাই।|ইখ ম্যোখটে অনলাইন আইনেন টেরমিন বুখেন।|Welche Unterlagen brauche ich?|আমার কী কাগজপত্র লাগবে?|ভেল্খে উন্টারলাগেন ব্রাউখে ইখ?
অ্যাপয়েন্টমেন্টের দিন বদলান|Ich muss meinen Termin verschieben.|আমার অ্যাপয়েন্টমেন্ট পিছিয়ে দিতে হবে।|ইখ মুস মাইনেন টেরমিন ফেরশিবেন।|Passt Ihnen nächste Woche?|আগামী সপ্তাহে আপনার সুবিধা হবে?|পাস্ট ইনেন নেখস্টে ভোখে?
অ্যাপয়েন্টমেন্ট বাতিল করুন|Ich möchte meinen Termin absagen.|আমি অ্যাপয়েন্টমেন্ট বাতিল করতে চাই।|ইখ ম্যোখটে মাইনেন টেরমিন আপজাগেন।|Ich kann morgen leider nicht kommen.|দুঃখিত, কাল আসতে পারব না।|ইখ কান মর্গেন লাইডার নিখ্ট কোমেন।
ঠিকানা নিবন্ধন করুন|Ich möchte meinen Wohnsitz anmelden.|আমি বাসার ঠিকানা নিবন্ধন করতে চাই।|ইখ ম্যোখটে মাইনেন ভোনজিট্স আনমেল্ডেন।|Ich bin gerade umgezogen.|আমি সদ্য বাসা বদলেছি।|ইখ বিন গেরাডে উমগেৎসোগেন।
ফরম চাইতে শিখুন|Ich brauche ein Formular.|আমার একটা ফরম লাগবে।|ইখ ব্রাউখে আইন ফরমুলার।|Wo kann ich es bekommen?|ওটা কোথায় পাব?|ভো কান ইখ এস বেকোমেন?
কোথায় স্বাক্ষর করবেন জানুন|Wo muss ich unterschreiben?|কোথায় স্বাক্ষর করতে হবে?|ভো মুস ইখ উন্টারশ্রাইবেন?|Ich habe alles ausgefüllt.|আমি সব পূরণ করেছি।|ইখ হাবে আলেস আউসগেফ্যুল্ট।
কাগজপত্র বাকি কি না জানুন|Fehlt noch ein Dokument?|আর কোনো কাগজ বাকি আছে?|ফেল্ট নখ আইন ডকুমেন্ট?|Ich kann es morgen bringen.|আমি কাল নিয়ে আসতে পারি।|ইখ কান এস মর্গেন ব্রিংগেন।
কতক্ষণ অপেক্ষা জানতে চান|Wie lange muss ich warten?|কতক্ষণ অপেক্ষা করতে হবে?|ভি লাংগে মুস ইখ ভার্টেন?|Ich habe eine Nummer gezogen.|আমি একটা টোকেন নিয়েছি।|ইখ হাবে আইনে নুমার গেৎসোগেন।
লিখিত নিশ্চয়তা চান|Kann ich eine schriftliche Bestätigung bekommen?|আমি কি লিখিত নিশ্চয়তা পেতে পারি?|কান ইখ আইনে শ্রিফ্টলিখে বেশ্টেটিগুং বেকোমেন?|Bitte schicken Sie sie per E-Mail.|দয়া করে ইমেইলে পাঠান।|বিটে শিকেন জি জি পেয়া ই-মেইল।
নতুন ঠিকানা জানান|Meine Adresse hat sich geändert.|আমার ঠিকানা বদলেছে।|মাইনে আড্রেসে হাট জিখ গেএন্ডার্ট।|Ich gebe Ihnen die neue Adresse.|আপনাকে নতুন ঠিকানা দিচ্ছি।|ইখ গেবে ইনেন ডি নয়ে আড্রেসে।
ব্যাংক হিসাব খুলুন|Ich möchte ein Konto eröffnen.|আমি একটা ব্যাংক হিসাব খুলতে চাই।|ইখ ম্যোখটে আইন কোন্টো এরঅ্যোফনেন।|Welche Dokumente benötigen Sie?|আপনাদের কী কাগজপত্র লাগবে?|ভেল্খে ডকুমেন্টে বেন্যোটিগেন জি?
এটিএম খুঁজে নিন|Wo ist der nächste Geldautomat?|কাছের এটিএম কোথায়?|ভো ইস্ট ডেয়া নেখস্টে গেল্টআউটোমাট?|Ich muss Geld abheben.|আমাকে টাকা তুলতে হবে।|ইখ মুস গেল্ট আপহেবেন।
ব্যাংক কার্ড হারালে বলুন|Ich habe meine Bankkarte verloren.|আমি ব্যাংক কার্ড হারিয়েছি।|ইখ হাবে মাইনে বাংককার্টে ফেরলোরেন।|Bitte sperren Sie die Karte.|দয়া করে কার্ডটি বন্ধ করুন।|বিটে শ্পেরেন জি ডি কার্টে।
