# প্রতি ভিডিও: বাংলা শিরোনাম | হিন্দি বাক্য ১ | বাংলা অর্থ ১ | বাংলা উচ্চারণ ১ | হিন্দি বাক্য ২ | বাংলা অর্থ ২ | বাংলা উচ্চারণ ২
# ক্যাপশনে মূল হিন্দি, বাংলা উচ্চারণ ও বাংলা অর্থ একসঙ্গে থাকবে। উপস্থাপক প্রতিটি হিন্দি বাক্যের পর তার বাংলা অর্থ বলবেন।
নিজের নাম বলুন|मेरा नाम आशा है।|আমার নাম আশা।|মেরা নাম আশা হ্যায়।|तुम्हारा नाम क्या है?|তোমার নাম কী?|তুমহারা নাম ক্যা হ্যায়?
ট্রেনে বসার জায়গা চান|क्या आपके पास वाली सीट खाली है?|আপনার পাশের সিটটা খালি?|ক্যা আপকে পাস বালী সীট খালী হ্যায়?|मैं बैठना चाहूँगी।|আমি বসতে চাই।|ম্যাঁ বৈঠনা চাহুঙ্গী।
নামার সময় বলুন|मुझे यहाँ उतरना है।|আমাকে এখানে নামতে হবে।|মুঝে ইয়হাঁ উতরনা হ্যায়।|अगला स्टॉप मेरा है।|পরের স্টপেই আমি নামব।|অগলা স্টপ মেরা হ্যায়।
পথ হারালে সাহায্য চান|मैं रास्ता भूल गई हूँ।|আমি পথ হারিয়েছি।|ম্যাঁ রাস্তা ভুল গঈ হুঁ।|क्या आप मुझे रास्ता बताएँगे?|আমাকে পথ দেখাবেন?|ক্যা আপ মুঝে রাস্তা বতাএঁগে?
পোশাকের মাপ চাইতে বলুন|क्या यह जैकेट मध्यम साइज़ में है?|এই জ্যাকেটের মাঝারি মাপ আছে?|ক্যা ইয়হ জ্যাকেট মধ্যম সাইজ মেঁ হ্যায়?|मैं इसे पहनकर देखना चाहती हूँ।|আমি পরে দেখতে চাই।|ম্যাঁ ইসে পহনকর দেখনা চাহতী হুঁ।
পোশাক পরখের ঘর খুঁজুন|कपड़े बदलने का कमरा कहाँ है?|পোশাক পরখের ঘর কোথায়?|কপড়ে বদলনে কা কমরা কহাঁ হ্যায়?|मेरे पास दो पैंट हैं।|আমার সঙ্গে দুটি প্যান্ট আছে।|মেরে পাস দো প্যান্ট হ্যাঁয়।
আরও বড় মাপ চান|यह पैंट बहुत तंग है।|প্যান্টটা খুব আঁটসাঁট।|ইয়হ প্যান্ট বহুত তঙ্গ হ্যায়।|क्या एक साइज़ बड़ी मिलेगी?|এক সাইজ বড় হবে?|ক্যা এক সাইজ বড়ী মিলেগী?
আরও ছোট মাপ চান|यह स्वेटर बहुत बड़ा है।|সোয়েটারটা খুব বড়।|ইয়হ সোয়েটর বহুত বড়া হ্যায়।|मुझे छोटा साइज़ चाहिए।|আমার ছোট সাইজ লাগবে।|মুঝে ছোটা সাইজ চাহিয়ে।
পছন্দের রং বাছুন|क्या यह नीले रंग में भी है?|এটা নীল রঙেও আছে?|ক্যা ইয়হ নীলে রংগ মেঁ ভী হ্যায়?|नीला मेरा पसंदीदा रंग है।|নীল আমার প্রিয় রং।|নীলা মেরা পসন্দীদা রংগ হ্যায়।
জুতা ঠিক হলে বলুন|जूते ठीक आ रहे हैं।|জুতাগুলো ঠিকমতো হয়েছে।|জুতে ঠীক আ রহে হ্যাঁয়।|मैं यह जोड़ी लूँगी।|আমি এই জোড়া নেব।|ম্যাঁ ইয়হ জোড়ী লুঙ্গী।
শীতের পোশাক কিনুন|मैं एक गर्म कोट ढूँढ़ रही हूँ।|আমি একটা গরম কোট খুঁজছি।|ম্যাঁ এক গর্ম কোট ঢুঁঢ় রহী হুঁ।|सर्दियाँ जल्दी आने वाली हैं।|শীত শিগগিরই আসছে।|সর্দিয়াঁ জলদী আনে বালী হ্যাঁয়।
পোশাক ফেরত দিন|मैं यह कमीज़ वापस करना चाहती हूँ।|আমি এই শার্ট ফেরত দিতে চাই।|ম্যাঁ ইয়হ কমীজ বাপস করনা চাহতী হুঁ।|यह रही रसीद।|এই নিন রসিদ।|ইয়হ রহী রসীদ।
নষ্ট জিনিস বদলাতে বলুন|इसकी ज़िप खराब है।|চেইনটা নষ্ট।|ইসকী জিপ খরাব হ্যায়।|क्या मैं जैकेट बदल सकती हूँ?|জ্যাকেটটা বদলাতে পারি?|ক্যা ম্যাঁ জ্যাকেট বদল সকতী হুঁ?
সুতির কাপড় চাইতে বলুন|क्या यह कमीज़ सूती है?|এই শার্ট কি সুতির?|ক্যা ইয়হ কমীজ সুতী হ্যায়?|कपड़ा मुलायम लग रहा है।|কাপড়টা নরম লাগছে।|কপড়া মুলায়ম লগ রহা হ্যায়।
রোদের কথা বলুন|आज धूप निकली है।|আজ রোদ উঠেছে।|আজ ধুপ নিকলী হ্যায়।|हम बाहर बैठ सकते हैं।|আমরা বাইরে বসতে পারি।|হম বাহর বৈঠ সকতে হ্যাঁয়।
বৃষ্টির জন্য প্রস্তুত হন|अभी बारिश हो रही है।|এখন বৃষ্টি হচ্ছে।|অভী বারিশ হো রহী হ্যায়।|मैं छाता साथ ले जाऊँगी।|আমি ছাতা সঙ্গে নেব।|ম্যাঁ ছাতা সাথ লে জাউঁগী।
ঠান্ডা লাগলে বলুন|मुझे ठंड लग रही है।|আমার ঠান্ডা লাগছে।|মুঝে ঠন্ড লগ রহী হ্যায়।|मैं जैकेट पहनूँगी।|আমি জ্যাকেট পরব।|ম্যাঁ জ্যাকেট পহনুঙ্গী।
গরমে ছায়ায় থাকুন|आज बहुत गर्मी है।|আজ খুব গরম।|আজ বহুত গর্মী হ্যায়।|मैं छाँव में ही रहूँगी।|আমি বরং ছায়ায় থাকব।|ম্যাঁ ছাঁও মেঁ হী রহুঙ্গী।
তুষারপাতের কথা বলুন|कल रात बर्फ़ पड़ी थी।|গত রাতে তুষার পড়েছে।|কল রাত বর্ফ পড়ী থী।|सड़कें बिल्कुल सफ़ेद हैं।|রাস্তাগুলো একেবারে সাদা।|সড়কেঁ বিলকুল সফেদ হ্যাঁয়।
বাতাসের কথা বলুন|बाहर तेज़ हवा चल रही है।|বাইরে অনেক বাতাস।|বাহর তেজ হবা চল রহী হ্যায়।|अपनी टोपी कसकर पकड़ो।|তোমার টুপিটা শক্ত করে ধরো।|অপনী টোপী কসকর পকড়ো।
বসন্তের পরিকল্পনা বলুন|वसंत में मौसम गर्म होता है।|বসন্তে আবহাওয়া উষ্ণ হয়।|বসন্ত মেঁ মৌসম গর্ম হোতা হ্যায়।|तब मैं फिर साइकिल चलाती हूँ।|তখন আবার সাইকেল চালাই।|তব ম্যাঁ ফির সাইকিল চলাতী হুঁ।
শরতের কথা বলুন|पतझड़ में पत्ते गिरते हैं।|শরতে গাছের পাতা ঝরে।|পতঝড় মেঁ পত্তে গিরতে হ্যাঁয়।|मुझे रंग-बिरंगे पत्ते पसंद हैं।|রঙিন পাতাগুলো আমার ভালো লাগে।|মুঝে রংগ-বিরংগে পত্তে পসন্দ হ্যাঁয়।
আগামীকালের আবহাওয়া জানুন|कल मौसम कैसा रहेगा?|কাল আবহাওয়া কেমন হবে?|কল মৌসম ক্যায়সা রহেগা?|हम घूमने जाने की योजना बना रहे हैं।|আমরা বেড়াতে যাওয়ার পরিকল্পনা করছি।|হম ঘুমনে জানে কী যোজনা বনা রহে হ্যাঁয়।
ঝড় হলে পরিকল্পনা বদলান|आज आँधी आने वाली है।|আজ ঝড় আসবে।|আজ আঁধী আনে বালী হ্যায়।|हम घर पर रहेंगे।|আমরা বাসায় থাকব।|হম ঘর পর রহেঙ্গে।
অসুস্থ লাগলে বলুন|मेरी तबीयत ठीक नहीं है।|আমার ভালো লাগছে না।|মেরী তবীয়ত ঠীক নহীঁ হ্যায়।|मुझे डॉक्टर चाहिए।|আমার ডাক্তার দরকার।|মুঝে ডাক্টর চাহিয়ে।
মাথাব্যথার কথা বলুন|मेरे सिर में दर्द है।|আমার মাথাব্যথা করছে।|মেরে সির মেঁ দর্দ হ্যায়।|यह रोशनी मेरे लिए बहुत तेज़ है।|আলোটা আমার জন্য বেশি উজ্জ্বল।|ইয়হ রোশনী মেরে লিয়ে বহুত তেজ হ্যায়।
গলাব্যথার কথা বলুন|मेरे गले में दर्द है।|আমার গলাব্যথা করছে।|মেরে গলে মেঁ দর্দ হ্যায়।|मैं मुश्किल से बोल पा रही हूँ।|আমি কথা প্রায় বলতেই পারছি না।|ম্যাঁ মুশকিল সে বোল পা রহী হুঁ।
জ্বরের কথা বলুন|मुझे कल से बुखार है।|গতকাল থেকে আমার জ্বর।|মুঝে কল সে বুখার হ্যায়।|आज मैं बिस्तर पर ही रहूँगी।|আজ আমি বিছানায় থাকব।|আজ ম্যাঁ বিস্তর পর হী রহুঙ্গী।
ডাক্তারের সময় নিন|मुझे मिलने का समय चाहिए।|আমি একটা অ্যাপয়েন্টমেন্ট চাই।|মুঝে মিলনে কা সময় চাহিয়ে।|क्या आज कोई समय खाली है?|আজ কোনো সময় খালি আছে?|ক্যা আজ কোঈ সময় খালী হ্যায়?
ডাক্তারের কাছে পৌঁছে বলুন|मेरा दस बजे का अपॉइंटमेंट है।|দশটায় আমার অ্যাপয়েন্টমেন্ট আছে।|মেরা দস বজে কা অপয়েন্টমেন্ট হ্যায়।|यह मेरा बीमा कार्ड है।|এই নিন স্বাস্থ্যবিমার কার্ড।|ইয়হ মেরা বীমা কার্ড হ্যায়।
অ্যালার্জির কথা বলুন|मुझे बादाम से एलर्जी है।|আমার কাঠবাদামে অ্যালার্জি আছে।|মুঝে বাদাম সে এলর্জী হ্যায়।|क्या इस खाने में बादाम हैं?|এই খাবারে কাঠবাদাম আছে?|ক্যা ইস খানে মেঁ বাদাম হ্যাঁয়?
ওষুধের দোকান খুঁজুন|पास की दवा की दुकान कहाँ है?|কাছের ওষুধের দোকান কোথায়?|পাস কী দবা কী দুকান কহাঁ হ্যায়?|मुझे पर्चे की दवाएँ चाहिए।|আমি প্রেসক্রিপশনের ওষুধ নিতে চাই।|মুঝে পর্চে কী দবাএঁ চাহিয়ে।
ওষুধ খাওয়ার নিয়ম জানুন|यह दवा कितनी बार लेनी है?|এটা কতবার খাব?|ইয়হ দবা কিতনী বার লেনী হ্যায়?|क्या आप मुझे लिखकर देंगे?|আমাকে লিখে দেবেন?|ক্যা আপ মুঝে লিখকর দেঙ্গে?
কোথায় ব্যথা দেখান|मेरी पीठ में दर्द है।|আমার পিঠে ব্যথা।|মেরী পীঠ মেঁ দর্দ হ্যায়।|दर्द यहाँ नीचे है।|ব্যথাটা এই নিচের দিকে।|দর্দ ইয়হাঁ নীচে হ্যায়।
বাসা খুঁজতে বলুন|मुझे एक घर चाहिए।|আমার একটা বাসা দরকার।|মুঝে এক ঘর চাহিয়ে।|उसमें दो कमरे होने चाहिए।|দুটি ঘর থাকলে ভালো হয়।|উসমেঁ দো কমরে হোনে চাহিয়ে।
বাসাভাড়া জিজ্ঞেস করুন|घर का किराया कितना है?|ভাড়া কত?|ঘর কা কিরায়া কিতনা হ্যায়?|क्या बाकी खर्च भी इसमें शामिल हैं?|বাড়তি খরচ কি এর মধ্যে আছে?|ক্যা বাকী খর্চ ভী ইসমেঁ শামিল হ্যাঁয়?
বাসা দেখতে সময় নিন|क्या मैं घर देख सकती हूँ?|আমি কি বাসাটা দেখতে পারি?|ক্যা ম্যাঁ ঘর দেখ সকতী হুঁ?|शुक्रवार को मेरे पास समय है।|শুক্রবার আমার সময় আছে।|শুক্রবার কো মেরে পাস সময় হ্যায়।
হিটার নষ্ট হলে বলুন|हीटर काम नहीं कर रहा है।|হিটার কাজ করছে না।|হীটর কাম নহীঁ কর রহা হ্যায়।|घर के अंदर ठंड है।|বাসার ভেতরে ঠান্ডা।|ঘর কে অন্দর ঠন্ড হ্যায়।
পানির সমস্যার কথা বলুন|नल से पानी टपक रहा है।|কল থেকে পানি পড়ছে।|নল সে পানী টপক রহা হ্যায়।|क्या आप किसी को भेज सकते हैं?|কাউকে পাঠাতে পারবেন?|ক্যা আপ কিসী কো ভেজ সকতে হ্যাঁয়?
ঘর পরিষ্কারের কথা বলুন|आज मैं रसोई साफ़ कर रही हूँ।|আজ রান্নাঘর পরিষ্কার করছি।|আজ ম্যাঁ রসোঈ সাফ কর রহী হুঁ।|फिर बैठक में झाड़ू लगाऊँगी।|তারপর বসার ঘরে ঝাড়ু দেব।|ফির বৈঠক মেঁ ঝাড়ু লগাউঁগী।
কাপড় ধোয়ার কথা বলুন|मुझे कपड़े धोने हैं।|আমাকে কাপড় ধুতে হবে।|মুঝে কপড়ে ধোনে হ্যাঁয়।|वॉशिंग मशीन अभी खाली है।|ওয়াশিং মেশিন এখন খালি।|ওয়াশিং মশীন অভী খালী হ্যায়।
ময়লা ফেলতে বলুন|मैं कचरा बाहर ले जा रही हूँ।|আমি ময়লা বাইরে নিয়ে যাচ্ছি।|ম্যাঁ কচরা বাহর লে জা রহী হুঁ।|कागज़ वाला कूड़ादान कहाँ है?|কাগজের ময়লার পাত্র কোথায়?|কাগজ বালা কুড়াদান কহাঁ হ্যায়?
শব্দ কমাতে বলুন|गाने की आवाज़ बहुत तेज़ है।|গানের শব্দ খুব জোরে।|গানে কী আওয়াজ বহুত তেজ হ্যায়।|क्या आप इसे थोड़ा कम करेंगे?|দয়া করে একটু কমাবেন?|ক্যা আপ ইসে থোড়া কম করেঙ্গে?
প্রতিবেশীর সাহায্য চান|क्या आप मेरा पार्सल ले लेंगे?|আমার পার্সেলটা গ্রহণ করবেন?|ক্যা আপ মেরা পার্সল লে লেঙ্গে?|कल मैं घर पर नहीं रहूँगी।|কাল আমি বাসায় থাকব না।|কল ম্যাঁ ঘর পর নহীঁ রহুঙ্গী।
নিজের কাজের কথা বলুন|मैं दफ़्तर में काम करती हूँ।|আমি অফিসে কাজ করি।|ম্যাঁ দফতর মেঁ কাম করতী হুঁ।|मेरे काम अलग-अलग तरह के हैं।|আমার কাজগুলো নানা রকমের।|মেরে কাম অলগ-অলগ তরহ কে হ্যাঁয়।
নতুন কাজে প্রথম দিন|आज नौकरी का मेरा पहला दिन है।|আজ আমার কাজের প্রথম দিন।|আজ নৌকরী কা মেরা পহলা দিন হ্যায়।|साथ काम करके मुझे खुशी हो रही है।|একসঙ্গে কাজ করতে পেরে ভালো লাগছে।|সাথ কাম করকে মুঝে খুশী হো রহী হ্যায়।
কাজ বুঝে নিন|पहले मुझे क्या करना है?|প্রথমে কী করব?|পহলে মুঝে ক্যা করনা হ্যায়?|क्या आप मुझे काम दिखाएँगे?|কাজটা দেখিয়ে দেবেন?|ক্যা আপ মুঝে কাম দিখাএঁগে?
অফিসে সাহায্য চান|मुझे तुम्हारी थोड़ी मदद चाहिए।|তোমার একটু সাহায্য লাগবে।|মুঝে তুমহারী থোড়ী মদদ চাহিয়ে।|मेरा कंप्यूटर चालू नहीं हो रहा।|আমার কম্পিউটার চালু হচ্ছে না।|মেরা কম্পিউটার চালু নহীঁ হো রহা।
মিটিংয়ের সময় জানুন|बैठक कब शुरू होगी?|মিটিং কখন শুরু হবে?|বৈঠক কব শুরু হোগী?|मैं समय पर आना चाहती हूँ।|আমি সময়মতো যেতে চাই।|ম্যাঁ সময় পর আনা চাহতী হুঁ।
কাজ শেষ হলে জানান|मेरा काम पूरा हो गया है।|আমার কাজ শেষ।|মেরা কাম পুরা হো গয়া হ্যায়।|मैं तुम्हें फ़ाइल भेज रही हूँ।|তোমাকে ফাইলটা পাঠাচ্ছি।|ম্যাঁ তুমহেঁ ফাইল ভেজ রহী হুঁ।
আরও সময় চান|मुझे थोड़ा और समय चाहिए।|আমার আরও একটু সময় লাগবে।|মুঝে থোড়া ঔর সময় চাহিয়ে।|कल सब तैयार हो जाएगा।|কাল সব শেষ হবে।|কল সব ত্যায়য়ার হো জাএগা।
একসঙ্গে বিরতি নিন|क्या हम थोड़ा आराम करें?|আমরা কি একটু বিরতি নেব?|ক্যা হম থোড়া আরাম করেঁ?|मैं अपने लिए कॉफ़ी लाती हूँ।|আমি এক কাপ কফি আনছি।|ম্যাঁ অপনে লিয়ে কফী লাতী হুঁ।
অসুস্থতার ছুটি জানান|आज मैं बीमार हूँ।|আজ আমি অসুস্থ।|আজ ম্যাঁ বীমার হুঁ।|मैं काम पर नहीं आ सकती।|আমি কাজে আসতে পারব না।|ম্যাঁ কাম পর নহীঁ আ সকতী।
এক দিনের ছুটি চান|मैं शुक्रवार को छुट्टी लेना चाहती हूँ।|আমি শুক্রবার ছুটি নিতে চাই।|ম্যাঁ শুক্রবার কো ছুট্টী লেনা চাহতী হুঁ।|क्या यह संभव है?|এটা কি সম্ভব?|ক্যা ইয়হ সম্ভব হ্যায়?
হিন্দি কোর্সে ভর্তি হন|मैं हिंदी की कक्षा में दाखिला लेना चाहती हूँ।|আমি হিন্দি কোর্সে ভর্তি হতে চাই।|ম্যাঁ হিন্দী কী কক্‌শা মেঁ দাখিলা লেনা চাহতী হুঁ।|अगला कोर्स कब शुरू होगा?|পরের কোর্স কবে শুরু?|অগলা কোর্স কব শুরু হোগা?
কোর্সের সময় জিজ্ঞেস করুন|क्या कक्षा शाम को होती है?|কোর্স কি সন্ধ্যায় হয়?|ক্যা কক্‌শা শাম কো হোতী হ্যায়?|दिन में मुझे काम करना होता है।|দিনের বেলা আমাকে কাজ করতে হয়।|দিন মেঁ মুঝে কাম করনা হোতা হ্যায়।
কোর্সের খরচ জানুন|कोर्स की फ़ीस कितनी है?|কোর্সের খরচ কত?|কোর্স কী ফীস কিতনী হ্যায়?|क्या किताबों का खर्च भी शामिल है?|বইয়ের দামও কি এতে আছে?|ক্যা কিতাবোঁ কা খর্চ ভী শামিল হ্যায়?
ক্লাসের ঘর খুঁজুন|कक्षा किस कमरे में है?|কোন ঘরে ক্লাস হবে?|কক্‌শা কিস কমরে মেঁ হ্যায়?|मैं यहाँ पहली बार आई हूँ।|আমি এখানে প্রথম এসেছি।|ম্যাঁ ইয়হাঁ পহলী বার আঈ হুঁ।
বাড়ির কাজ বুঝে নিন|हमें घर पर क्या करना है?|আমাদের কী বাড়ির কাজ আছে?|হমেঁ ঘর পর ক্যা করনা হ্যায়?|मैं पन्ने का नंबर नहीं सुन पाई।|আমি পৃষ্ঠার নম্বর শুনতে পাইনি।|ম্যাঁ পন্নে কা নম্বর নহীঁ সুন পাঈ।
কলম ধার চান|क्या तुम मुझे एक कलम उधार दोगे?|আমাকে একটা কলম ধার দেবে?|ক্যা তুম মুঝে এক কলম উধার দোগে?|मेरी कलम अब नहीं लिखती।|আমারটা আর লিখছে না।|মেরী কলম অব নহীঁ লিখতী।
পরীক্ষার প্রস্তুতির কথা|अगले हफ़्ते मेरी परीक्षा है।|আগামী সপ্তাহে আমার পরীক্ষা।|অগলে হফতে মেরী পরীক্‌শা হ্যায়।|इसलिए मैं हर शाम पढ़ती हूँ।|তাই প্রতিদিন সন্ধ্যায় পড়ি।|ইসলিয়ে ম্যাঁ হর শাম পড়তী হুঁ।
সহপাঠীর সঙ্গে অনুশীলন|क्या तुम मेरे साथ अभ्यास करोगे?|আমার সঙ্গে অনুশীলন করতে চাও?|ক্যা তুম মেরে সাথ অভ্যাস করোগে?|हम साथ हिंदी बोल सकते हैं।|আমরা একসঙ্গে হিন্দি বলতে পারি।|হম সাথ হিন্দী বোল সকতে হ্যাঁয়।
লাইব্রেরি থেকে বই নিন|मैं यह किताब उधार लेना चाहती हूँ।|আমি এই বই ধার নিতে চাই।|ম্যাঁ ইয়হ কিতাব উধার লেনা চাহতী হুঁ।|इसे कितने दिन रख सकती हूँ?|কত দিন রাখতে পারব?|ইসে কিতনে দিন রখ সকতী হুঁ?
শেখার অগ্রগতি বলুন|अब मुझे बहुत ज़्यादा समझ आता है।|এখন অনেক বেশি বুঝি।|অব মুঝে বহুত জ্যাদা সমঝ আতা হ্যায়।|बोलना अभी भी मुश्किल लगता है।|কথা বলা এখনো কঠিন লাগে।|বোলনা অভী ভী মুশকিল লগতা হ্যায়।
ফোনে কথা শুরু করুন|क्या शर्मा जी से बात हो सकती है?|শর্মাজিের সঙ্গে কথা বলতে পারি?|ক্যা শর্মা জী সে বাত হো সকতী হ্যায়?|मैं आशा सेन बोल रही हूँ।|আমি আশা সেন বলছি।|ম্যাঁ আশা সেন বোল রহী হুঁ।
ফোনে শুনতে না পেলে বলুন|मुझे आपकी आवाज़ साफ़ नहीं आ रही।|আপনার কথা ভালো শুনতে পাচ্ছি না।|মুঝে আপকী আওয়াজ সাফ নহীঁ আ রহী।|नेटवर्क बहुत खराब है।|সংযোগ খুব খারাপ।|নেটওয়ার্ক বহুত খরাব হ্যায়।
পরে ফোন করতে বলুন|क्या आप मुझे बाद में फ़ोन करेंगे?|আমাকে পরে ফোন করবেন?|ক্যা আপ মুঝে বাদ মেঁ ফোন করেঙ্গে?|मैं अभी रास्ते में हूँ।|আমি এখন পথে আছি।|ম্যাঁ অভী রাসতে মেঁ হুঁ।
ফোনে বার্তা রেখে যান|क्या मैं कोई संदेश छोड़ सकती हूँ?|আমি কি একটা বার্তা রাখতে পারি?|ক্যা ম্যাঁ কোঈ সন্দেশ ছোড় সকতী হুঁ?|यह मेरे अपॉइंटमेंट के बारे में है।|এটা আমার অ্যাপয়েন্টমেন্ট সম্পর্কে।|ইয়হ মেরে অপয়েন্টমেন্ট কে বারে মেঁ হ্যায়।
ওয়াইফাই পাসওয়ার্ড চান|क्या यहाँ वाई-फ़ाई है?|এখানে ওয়াইফাই আছে?|ক্যা ইয়হাঁ ওয়াই-ফাই হ্যায়?|इसका पासवर्ड क्या है?|পাসওয়ার্ড কী?|ইসকা পাসওয়ার্ড ক্যা হ্যায়?
ইন্টারনেট সমস্যা জানান|मेरा इंटरनेट नहीं चल रहा है।|আমার ইন্টারনেট কাজ করছে না।|মেরা ইনটারনেট নহীঁ চল রহা হ্যায়।|मैंने राउटर फिर चालू किया है।|রাউটার আবার চালু করেছি।|ম্যাঁনে রাউটার ফির চালু কিয়া হ্যায়।
ফোন চার্জ করতে চান|मेरी बैटरी लगभग खत्म है।|আমার ব্যাটারি প্রায় শেষ।|মেরী ব্যাটরী লগভগ খতম হ্যায়।|क्या मैं यहाँ फ़ोन चार्ज कर सकती हूँ?|এখানে ফোন চার্জ দিতে পারি?|ক্যা ম্যাঁ ইয়হাঁ ফোন চার্জ কর সকতী হুঁ?
ছবি পাঠানোর কথা বলুন|मैं तुम्हें फ़ोटो भेज रही हूँ।|আমি তোমাকে ছবিটা পাঠাচ্ছি।|ম্যাঁ তুমহেঁ ফোটো ভেজ রহী হুঁ।|तुम्हें अभी मिल जाएगी।|তুমি এখনই পেয়ে যাবে।|তুমহেঁ অভী মিল জাএগী।
ইমেইল ঠিকানা মিলিয়ে নিন|क्या यह ईमेल पता सही है?|এই ইমেইল ঠিকানা কি ঠিক?|ক্যা ইয়হ ঈমেল পতা সহী হ্যায়?|मेरा संदेश नहीं पहुँच रहा।|আমার বার্তা পৌঁছাচ্ছে না।|মেরা সন্দেশ নহীঁ পহুঁচ রহা।
ভিডিও কলে কথা বলুন|क्या आज शाम फ़ोन पर बात करें?|আজ সন্ধ্যায় ফোনে কথা বলতে পারি?|ক্যা আজ শাম ফোন পর বাত করেঁ?|वीडियो कॉल भी अच्छा रहेगा।|ভিডিও কলও ভালো হবে।|বীডিয়ো কল ভী অচ্ছা রহেগা।
হোটেলে পৌঁছে বলুন|मैंने एक कमरा बुक किया है।|আমি একটা ঘর বুক করেছি।|ম্যাঁনে এক কমরা বুক কিয়া হ্যায়।|बुकिंग मेरे नाम से है।|বুকিংটা আমার নামে।|বুকিং মেরে নাম সে হ্যায়।
হোটেলের নাশতা সম্পর্কে জানুন|क्या नाश्ता किराए में शामिल है?|নাশতা কি ভাড়ার মধ্যে আছে?|ক্যা নাশ্তা কিরাএ মেঁ শামিল হ্যায়?|यह कितने बजे शुरू होता है?|কয়টায় শুরু হয়?|ইয়হ কিতনে বজে শুরু হোতা হ্যায়?
হোটেল ছাড়ার সময় জানুন|मुझे कितने बजे तक कमरा छोड़ना है?|কয়টার মধ্যে চেকআউট করতে হবে?|মুঝে কিতনে বজে তক কমরা ছোড়না হ্যায়?|क्या मैं सूटकेस यहाँ छोड़ सकती हूँ?|স্যুটকেস এখানে রেখে যেতে পারি?|ক্যা ম্যাঁ সুটকেস ইয়হাঁ ছোড় সকতী হুঁ?
হোটেলে তোয়ালে চান|मेरे कमरे में तौलिया नहीं है।|আমার ঘরে তোয়ালে নেই।|মেরে কমরে মেঁ তৌলিয়া নহীঁ হ্যায়।|क्या आप मुझे एक तौलिया देंगे?|আমাকে একটা এনে দেবেন?|ক্যা আপ মুঝে এক তৌলিয়া দেঙ্গে?
শান্ত ঘর চাইতে বলুন|मेरे कमरे में बहुत शोर है।|আমার ঘরে খুব শব্দ হয়।|মেরে কমরে মেঁ বহুত শোর হ্যায়।|क्या कोई शांत कमरा है?|আরও শান্ত ঘর আছে?|ক্যা কোঈ শান্ত কমরা হ্যায়?
শহরের মানচিত্র চান|क्या आपके पास शहर का नक्शा है?|আপনাদের কাছে শহরের মানচিত্র আছে?|ক্যা আপকে পাস শহর কা নকশা হ্যায়?|मैं पुराना शहर देखना चाहती हूँ।|আমি পুরোনো শহর দেখতে চাই।|ম্যাঁ পুরানা শহর দেখনা চাহতী হুঁ।
প্রবেশের টিকিট কিনুন|मुझे एक प्रवेश टिकट चाहिए।|আমি একটা প্রবেশের টিকিট চাই।|মুঝে এক প্রবেশ টিকট চাহিয়ে।|क्या छात्रों के लिए छूट है?|শিক্ষার্থীদের জন্য ছাড় আছে?|ক্যা ছাত্রোঁ কে লিয়ে ছুট হ্যায়?
ফ্লাইট দেরি কি না জানুন|क्या हमारी उड़ान में देरी है?|আমাদের ফ্লাইট কি দেরি করছে?|ক্যা হমারী উড়ান মেঁ দেরী হ্যায়?|हम कब चढ़ सकते हैं?|আমরা কখন উঠতে পারব?|হম কব চঢ় সকতে হ্যাঁয়?
লাগেজ না পেলে বলুন|मेरा सूटकेस नहीं आया है।|আমার স্যুটকেস আসেনি।|মেরা সুটকেস নহীঁ আয়া হ্যায়।|वह काला और काफ़ी बड़ा है।|ওটা কালো আর বেশ বড়।|ওহ কালা ঔর কাফী বড়া হ্যায়।
ছুটির অভিজ্ঞতা বলুন|हम एक हफ़्ता समुद्र के पास थे।|আমরা এক সপ্তাহ সমুদ্রের কাছে ছিলাম।|হম এক হফতা সমুদ্র কে পাস থে।|मौसम बहुत अच्छा था।|আবহাওয়া চমৎকার ছিল।|মৌসম বহুত অচ্ছা থা।
অনলাইনে সময় বুক করুন|मैं ऑनलाइन समय बुक करना चाहती हूँ।|আমি অনলাইনে অ্যাপয়েন্টমেন্ট নিতে চাই।|ম্যাঁ অনলাইন সময় বুক করনা চাহতী হুঁ।|मुझे कौन से कागज़ चाहिए?|আমার কী কাগজপত্র লাগবে?|মুঝে কৌন সে কাগজ চাহিয়ে?
অ্যাপয়েন্টমেন্টের দিন বদলান|मुझे अपना अपॉइंटमेंट बदलना है।|আমার অ্যাপয়েন্টমেন্ট বদলাতে হবে।|মুঝে অপনা অপয়েন্টমেন্ট বদলনা হ্যায়।|क्या अगला हफ़्ता आपके लिए ठीक है?|আগামী সপ্তাহে আপনার সুবিধা হবে?|ক্যা অগলা হফতা আপকে লিয়ে ঠীক হ্যায়?
অ্যাপয়েন্টমেন্ট বাতিল করুন|मैं अपना अपॉइंटमेंट रद्द करना चाहती हूँ।|আমি অ্যাপয়েন্টমেন্ট বাতিল করতে চাই।|ম্যাঁ অপনা অপয়েন্টমেন্ট রদ্দ করনা চাহতী হুঁ।|माफ़ कीजिए, मैं कल नहीं आ सकती।|দুঃখিত, কাল আসতে পারব না।|মাফ কীজিয়ে, ম্যাঁ কল নহীঁ আ সকতী।
